name,cost,availability,prob_dataloss,mttl_days
F1D1-F1D2-F2D2,22064.867473750226,0.9999401955577899,0.0,inf
F1D1-F1D1-F1D1,15478.362295444731,0.999742254751479,0.0,inf
F1D1-F1D1-F1D2,18118.464910874634,0.9997498229893163,0.0,inf
F1D1-F1D2-F1D2,20756.506467435396,0.9999342525148245,0.0,inf
F0D0-F2D0-F2D0,9319.803371552616,0.921825732637857,0.401,248.55135011889433
F1D2-F1D2-F2D0,19229.610841993497,0.9973712584893314,0.0,inf
F1D2-F1D2-F2D2,24702.344588661723,0.9999729449294547,0.0,inf
F1D2-F1D2-F2D1,22063.903841017687,0.9999554052767804,0.0,inf
F2D0-F2D1-F2D1,16592.97778198142,0.9854949029797228,0.004,246.71061865460914
F2D0-F2D1-F2D2,19224.499320322317,0.9909031701958367,0.0,inf
F2D0-F2D2-F2D2,21823.43784379934,0.9944998557121624,0.001,357.5161765622689
F2D1-F2D1-F2D2,22049.53251897184,0.999660925557333,0.0,inf
F2D1-F2D1-F2D1,19410.094165326715,0.9994099461815197,0.0,inf
F2D0-F2D0-F2D0,9998.643640418655,0.8820763647523433,0.513,235.3259756762695
F2D0-F2D0-F2D1,14008.548971490205,0.9053024799737982,0.068,266.6113939093753
F0D1-F2D0-F2D0,11959.872961800134,0.9586958317710829,0.204,283.0174982711979
F2D0-F2D0-F2D2,16689.107070927923,0.9025413193156253,0.028,285.9364891289487
F0D2-F2D0-F2D0,13894.622743633465,0.9585306683992908,0.203,291.4985849901482
F1D2-F2D0-F2D1,17966.42087780755,0.995341568474973,0.001,339.03737575241234
F1D2-F2D1-F2D2,23378.037522847822,0.9999121482615092,0.0,inf
F1D2-F2D0-F2D0,15389.359764181241,0.9542999290125852,0.07,283.041020733842
F1D2-F2D1-F2D1,20733.140485038995,0.9997782911626681,0.0,inf
F1D2-F2D0-F2D2,20542.770468684135,0.9973162563184228,0.0,inf
F1D2-F2D2-F2D2,26010.941633012848,0.9999839897936232,0.0,inf
F0D0-F2D0-F2D1,12083.194310465286,0.9313178556936177,0.069,259.2750459594131
F1D2-F1D2-F1D2,23384.28894957322,0.9999386952752466,0.0,inf
F2D2-F2D2-F2D2,27323.27983568615,0.999955606318475,0.0,inf
F2D1-F2D2-F2D2,24682.663599975207,0.9999226175865092,0.0,inf
F0D0-F2D1-F2D2,17267.98552963841,0.9894245571052428,0.0,inf
F0D0-F2D2-F2D2,19875.873761753228,0.9940462471940654,0.0,inf
F0D0-F2D0-F2D2,14738.249067937515,0.9337347642028426,0.03,269.481474886396
F0D0-F1D0-F2D0,8458.954256839217,0.9465282132429046,0.342,255.22170346427967
F0D0-F2D1-F2D1,14660.483409214858,0.9863163092084717,0.005,320.90305964164725
F0D1-F1D0-F2D0,10795.350217939327,0.9663533781103644,0.164,287.40928412654034
F0D1-F2D0-F2D1,14430.313582110186,0.9944402119904328,0.002,278.0102764393242
F0D2-F1D0-F2D0,12755.166107747673,0.967580285217854,0.172,297.88823729681457
F0D1-F2D0-F2D2,17008.576218129256,0.9957745726069673,0.0,inf
F0D2-F2D0-F2D1,16955.668493549212,0.996712602530331,0.003,251.6071869690576
F0D2-F2D0-F2D2,19538.3542797999,0.9983330984879291,0.001,213.38673967163976
F0D0-F1D0-F2D1,11061.03745014569,0.9486398696277067,0.037,266.19176285928546
F0D0-F1D1-F2D2,15981.319818124313,0.9943982196167945,0.004,286.8139548753929
F0D0-F1D2-F2D1,15992.102713270342,0.9945246355170093,0.001,304.4095462961543
F0D0-F1D0-F2D2,13646.345398574142,0.9475100405692853,0.021,283.3225535078741
F0D0-F1D2-F2D2,18576.614657329064,0.9973945599521439,0.0,inf
F0D0-F1D1-F2D1,13428.01699327379,0.9927233473651147,0.002,307.25208444560525
F0D0-F1D2-F2D0,13641.969811407056,0.9679251092313982,0.033,293.22805588192534
F0D0-F1D1-F2D0,11037.18850436882,0.9654048410687374,0.048,281.81601310628827
F0D0-F1D0-F1D0,7357.584211505405,0.96027315320876,0.291,253.50354578350857
F0D1-F1D0-F2D2,15845.52112809705,0.9966476114329578,0.001,284.6975683848747
F0D1-F2D1-F2D1,17055.537819974365,0.9997264929858761,0.001,172.30385359964058
F0D1-F2D1-F2D2,19695.621558763734,0.999758088738392,0.0,inf
F0D2-F1D0-F2D1,15870.328535614934,0.9968544873631221,0.0,inf
