name,cost,availability,prob_dataloss,mttl_days
F0D2-F2D2-F2D2,24956.049817050294,0.9999338783463729,0.0,inf
F1D0-F1D2-F2D1,16839.44262767871,0.9951888531099712,0.001,315.9797331541508
F1D0-F1D2-F1D2,18138.749093367875,0.9977706739977601,0.0,inf
F1D0-F1D2-F2D0,14408.965200803774,0.962602328031835,0.042,280.75954280124046
F1D0-F1D2-F2D2,19478.17613036782,0.997687479870747,0.0,inf
F1D0-F2D0-F2D0,9487.687855979884,0.9098474076234736,0.455,244.4733742627123
F1D0-F2D0-F2D1,12933.870329432364,0.9206789138871359,0.062,262.2768776592656
F1D0-F2D1-F2D1,15440.03083071284,0.9840608132040899,0.007,189.23763059701125
F1D0-F2D2-F2D2,20731.412222971776,0.9950130073291912,0.002,342.0298757232104
F1D0-F2D1-F2D2,18107.927642401744,0.9887563482137945,0.001,274.2090284273667
F1D0-F2D0-F2D2,15552.080042887112,0.914955931158279,0.017,237.78744066849356
F1D1-F1D1-F2D0,14047.501766131527,0.9947621445901441,0.002,316.71352414981936
F1D1-F1D1-F2D1,16791.750902840904,0.9997224185190804,0.0,inf
F1D1-F2D0-F2D0,12971.378300936061,0.9571230757134165,0.076,276.2717219913169
F1D1-F1D1-F1D2,18115.68770300625,0.9998286669338986,0.0,inf
F1D1-F1D1-F2D2,19434.943174490985,0.9998757464707227,0.0,inf
F1D1-F1D1-F1D1,15478.701176458213,0.9996937272410673,0.0,inf
F1D1-F1D2-F2D0,16596.18858025078,0.9956883464872839,0.001,313.2233422387964
F1D1-F1D2-F2D1,19425.113367662794,0.9999148045416587,0.0,inf
F1D1-F1D2-F2D2,22058.98628646332,0.9999515593401896,0.0,inf
F1D1-F1D2-F1D2,20758.716548585846,0.9999500935742605,0.0,inf
F1D1-F2D0-F2D1,15343.147362252894,0.9920317445220606,0.002,335.1730047705495
F1D1-F2D1-F2D1,18097.169896507407,0.9993411520169283,0.0,inf
F1D1-F2D1-F2D2,20754.68772316078,0.999843116104736,0.0,inf
F1D1-F2D2-F2D2,23382.267025760928,0.9999508424829546,0.0,inf
F1D1-F2D0-F2D2,17957.399333500372,0.9935006482948356,0.005,310.2604698817908
F1D2-F1D2-F2D0,19237.428814985098,0.9981400816424948,0.0,inf
F1D2-F1D2-F2D1,22050.320788059795,0.9998691741813314,0.0,inf
F1D2-F1D2-F2D2,24699.548018615136,0.9999626812882648,0.0,inf
F1D2-F2D0-F2D1,17922.941161835613,0.9947427686630376,0.003,289.9336011676331
F1D2-F2D0-F2D0,15460.396716601737,0.9562531013144197,0.051,283.94694026125376
F1D2-F2D2-F2D2,26016.207179536425,0.9999643926303694,0.0,inf
F1D2-F1D2-F1D2,23384.699523385523,0.9999686112179127,0.0,inf
F1D2-F2D1-F2D2,23373.719697593566,0.999915707438761,0.0,inf
F1D2-F2D0-F2D2,20566.471339876793,0.9972224423417344,0.0,inf
F1D2-F2D1-F2D1,20720.230570237258,0.9997944813098325,0.001,177.01436438428712
F2D0-F2D1-F2D1,16650.651120908533,0.986719182774211,0.003,249.62675763410172
F2D0-F2D0-F2D2,16669.139129679148,0.9030489283135336,0.029,266.3999890728017
F2D0-F2D0-F2D1,13965.376541548645,0.9099013299772161,0.075,256.4191375325468
F2D0-F2D1-F2D2,19180.514442695938,0.9883235294093745,0.001,352.66661217204717
F2D0-F2D0-F2D0,10117.36698762497,0.8821682447880144,0.532,246.38358302757675
F2D1-F2D1-F2D1,19410.70728830899,0.999654065236092,0.001,186.34937129852347
F2D1-F2D1-F2D2,22056.71353402274,0.9997112149724731,0.0,inf
F2D2-F2D2-F2D2,27330.13396231989,0.9999936823018202,0.0,inf
F2D1-F2D2-F2D2,24683.743559646904,0.9998932529245473,0.0,inf
F2D0-F2D2-F2D2,21853.494705476878,0.993632973805383,0.0,inf
